,precision,recall,f1-score,support
bass,0.6671899529042387,0.8220502901353965,0.7365684575389948,517.0
brass,0.4573002754820937,0.9540229885057471,0.6182495344506518,174.0
flute,0.0,0.0,0.0,86.0
guitar,0.0,0.0,0.0,223.0
keyboard,0.0,0.0,0.0,0.0
mallet,0.0,0.0,0.0,0.0
organ,0.0,0.0,0.0,0.0
reed,0.0,0.0,0.0,0.0
string,0.0,0.0,0.0,0.0
synth_lead,0.0,0.0,0.0,0.0
vocal,0.0,0.0,0.0,0.0
accuracy,0.591,0.591,0.591,0.591
macro avg,0.10222638439875747,0.16146120714919487,0.12316527199905879,1000.0
weighted avg,0.4245074535853757,0.591,0.4883813115420737,1000.0
